"","Estimate","Std. Error","z value","Pr(>|z|)"
"taxadiatom",-3.76298742626766,0.140275435483545,-26.8257048234869,1.62042475367877e-158
"taxaforam",-3.89602617038692,0.105311262490296,-36.9953419820213,1.36065464772324e-299
"taxanano",-4.16137996355826,0.100776288590921,-41.293244886706,0
"taxaradio",-3.88971724791385,0.122501568071204,-31.752387411506,2.94321850436708e-221
