"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",-0.0196392872555271,0.0917594548163149,-0.214030121417365,0.996487351466864,-0.254711166198971,0.215432591687917
"nano - diatom","nano - diatom",0.246136161734789,0.0900587982192518,2.73306069591958,0.0313777732981279,0.0154210713371084,0.476851252132471
"radio - diatom","radio - diatom",0.262999176919361,0.102164568030899,2.57426994493648,0.0485455640894656,0.0012711945926982,0.524727159246023
"nano - foram","nano - foram",0.265775448990317,0.0722139898647403,3.68038726967067,0.00123052914609501,0.0807756762967121,0.450775221683921
"radio - foram","radio - foram",0.282638464174888,0.086843952906515,3.25455549540841,0.00635882193142434,0.0601592523544102,0.505117675995365
"radio - nano","radio - nano",0.0168630151845712,0.0850450571458305,0.198283307113963,0.997200151386021,-0.201007736316106,0.234733766685248
