"","Estimate","Std. Error","z value","Pr(>|z|)","taxa.rand","site.rand"
"(Intercept)",-3.15285976638303,0.0568215106738417,-55.4870810190281,0,3.5067274134975e-13,0.293620415539593
"cat.befcumul",0.114969099965912,0.101046082827361,1.13778878655137,0.25520868842886,3.5067274134975e-13,0.293620415539593
"cat.befinstant",0.351562055433512,0.0681002146631908,5.1624221329149,2.43774790003685e-07,3.5067274134975e-13,0.293620415539593
"cat.befnovel",0.296752799955917,0.104451833947031,2.84104920653098,0.0044965373718912,3.5067274134975e-13,0.293620415539593
"cat.aftcumul",0.324542205875258,0.0876290486427275,3.70359157039864,0.000212568401235683,3.5067274134975e-13,0.293620415539593
"cat.aftinstant",0.604296328672364,0.0682616197940171,8.85265146792383,8.54642305686643e-19,3.5067274134975e-13,0.293620415539593
"cat.aftnovel",0.98137711222684,0.073519306706777,13.3485632031453,1.20755576985974e-40,3.5067274134975e-13,0.293620415539593
"lag.scaled",0.331922384379269,0.0110226779062972,30.1126810745003,3.30625205313285e-199,3.5067274134975e-13,0.293620415539593
"edge.scaled",-0.0856353710418239,0.0187841337874284,-4.55892041714144,5.14172493870572e-06,3.5067274134975e-13,0.293620415539593
