"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",0.0045975365914348,0.19262175852224,0.0238682100439031,0.999994988433622,-0.488641146163553,0.497836219346422
"nano - diatom","nano - diatom",0.134513417168121,0.180305168653104,0.746031953343039,0.875759629150736,-0.32718667612692,0.596213510463162
"radio - diatom","radio - diatom",-0.326669664673479,0.218770093154527,-1.49320988057878,0.435265316815497,-0.886865321703919,0.233525992356961
"nano - foram","nano - foram",0.129915880576686,0.141223632178338,0.919930174382057,0.790225476451628,-0.231709715845621,0.491541476998993
"radio - foram","radio - foram",-0.331267201264914,0.187868342467428,-1.76329442690616,0.285593373415689,-0.812334005352357,0.14979960282253
"radio - nano","radio - nano",-0.4611830818416,0.175217938831282,-2.6320540289295,0.0409554347496849,-0.909856513167415,-0.0125096505157852
