"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",-0.0713656794315622,0.130945478266749,-0.545003007176643,0.947179861992255,-0.406870608192642,0.264139249329517
"nano - diatom","nano - diatom",-0.131405901434324,0.125133615710927,-1.05012470620115,0.716880859835514,-0.452019834656112,0.189208031787464
"radio - diatom","radio - diatom",-0.214246164258212,0.142971146045029,-1.49852729158885,0.434507488525276,-0.580562930622704,0.152070602106279
"nano - foram","nano - foram",-0.0600402220027618,0.101932763526834,-0.589017896948867,0.934545986020135,-0.321209565290993,0.20112912128547
"radio - foram","radio - foram",-0.14288048482665,0.123177169559771,-1.15995914938862,0.648809544318225,-0.458481665143515,0.172720695490215
"radio - nano","radio - nano",-0.082840262823888,0.116979992319793,-0.708157533447466,0.892521407910219,-0.382563204839288,0.216882679191512
