"","Estimate","Std. Error","z value","Pr(>|z|)","taxa.rand","site.rand"
"(Intercept)",-1.13967173027903,0.0696282199361708,-16.3679572926578,3.23904090602571e-60,0.0113111269657198,0.205792725510376
"cat.befcumul",0.680956643976682,0.0408075929619621,16.6870083371842,1.62933307459008e-62,0.0113111269657198,0.205792725510376
"cat.befinstant",0.398473101107308,0.0336613387676453,11.8377080560537,2.4916931534335e-32,0.0113111269657198,0.205792725510376
"cat.befnovel",0.536432782006951,0.0477922373676111,11.2242659384365,3.09949607475123e-29,0.0113111269657198,0.205792725510376
"cat.aftcumul",-0.149050609192365,0.0520997406823866,-2.86087046192831,0.0042247963505447,0.0113111269657198,0.205792725510376
"cat.aftinstant",1.32705322038563,0.0358072954518681,37.0609732915866,1.1955121421623e-300,0.0113111269657198,0.205792725510376
"cat.aftnovel",0.274635998487087,0.0587847753642415,4.67188990321713,2.98440925429449e-06,0.0113111269657198,0.205792725510376
"lag.scaled",-0.0160274909496198,0.00732841784113759,-2.18703290356214,0.0287401220744309,0.0113111269657198,0.205792725510376
