"","Estimate","Std. Error","z value","Pr(>|z|)"
"taxadiatom",-4.00555777420243,0.157589627535542,-25.4176485904762,1.60942384048693e-142
"taxaforam",-4.00096023761099,0.110763943363394,-36.1215041295943,1.0426614476658e-285
"taxanano",-3.8710443570343,0.0876097205579005,-44.1851010639392,0
"taxaradio",-4.3322274388759,0.151742752551974,-28.5498145118467,2.82388164569703e-179
