"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",-0.133038744119259,0.17540712587406,-0.758456895387356,0.872199624742634,-0.582803418733755,0.316725930495237
"nano - diatom","nano - diatom",-0.398392537290599,0.172722488814453,-2.30654699353349,0.0955395310163788,-0.841273484077304,0.0444884094961062
"radio - diatom","radio - diatom",-0.126729821646191,0.186235957806225,-0.68047987692071,0.903877775663413,-0.604260905670544,0.350801262378162
"nano - foram","nano - foram",-0.26535379317134,0.145761182588029,-1.82046954106651,0.261775866250576,-0.639102753092153,0.108395166749472
"radio - foram","radio - foram",0.00630892247306791,0.161545956889066,0.0390534222865155,0.999978441180052,-0.407914070882775,0.420531915828911
"radio - nano","radio - nano",0.271662715644408,0.158626903525425,1.71258916114986,0.315077838300745,-0.13507547867754,0.678400909966357
