"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",0.0231191028326134,0.102338130079236,0.225908982455642,0.99588801499795,-0.239036330462438,0.285274536127665
"nano - diatom","nano - diatom",-0.372529895592541,0.10245303600919,-3.63610401510331,0.00136801561509714,-0.634979678743622,-0.110080112441459
"radio - diatom","radio - diatom",-0.237322921020245,0.113635212087383,-2.08846286869029,0.15500453172829,-0.528417630678097,0.0537717886376079
"nano - foram","nano - foram",-0.395648998425154,0.0829293583491221,-4.77091594944606,1.32493568316683e-05,-0.608085769099603,-0.183212227750705
"radio - foram","radio - foram",-0.260442023852858,0.0964033988759792,-2.70158549272636,0.0346837890594047,-0.507394697151465,-0.0134893505542515
"radio - nano","radio - nano",0.135206974572296,0.0965253698994563,1.40074028945065,0.495819032117852,-0.112058146945604,0.382472096090196
