"","test","coefs","sigma","t","p","lower","upper"
"foram - diatom","foram - diatom",0.0966569924828602,0.123322614437815,0.78377346217874,0.860218263509,-0.219544208271058,0.412858193236778
"nano - diatom","nano - diatom",-0.344688406601676,0.124565619359918,-2.76712313054648,0.0284598052880155,-0.664076692309182,-0.0253001208941706
"radio - diatom","radio - diatom",-0.290005199586193,0.140319495835728,-2.06674915598117,0.161581042229718,-0.649786682282658,0.0697762831102717
"nano - foram","nano - foram",-0.441345399084537,0.0990588310221598,-4.45538670838753,4.21756816878505e-05,-0.695333862249017,-0.187356935920056
"radio - foram","radio - foram",-0.386662192069053,0.118260810873889,-3.26957162911205,0.00589448684181704,-0.689884845683096,-0.0834395384550105
"radio - nano","radio - nano",0.0546832070154832,0.119556453959172,0.457383982249568,0.967767780634084,-0.251861496663607,0.361227910694574
